Question,Index,Wording Options,Count
How are you doing today?,1,how_doingV (so how are you doing today),126
How are you doing today?,1,so how are you doing today,26
How are you doing today?,1,so how are you doing today  ,14
How are you doing today?,1,how are you doing today,7
How are you doing today?,1,okay so how are you doing today,6
How are you doing today?,1,okay so how are you doing today  ,4
How are you doing today?,1,so how are you doing today ,3
Where are you from originally?,2,where_originally (where are you from originally),126
Where are you from originally?,2,where are you from originally,39
Where are you from originally?,2,where are you from originally ,20
Where are you from originally?,2,that's good where are you from originally ,2
Where are you from originally?,2,that's good where are you from originally,1
How are you at controlling your temper?,3,control_temper (how are you at controlling your temper),125
How are you at controlling your temper?,3,how are you at controlling your temper,34
How are you at controlling your temper?,3,how are you at controlling your temper ,20
Tell me about the last time you felt really happy,4,happy_lasttime (tell me about the last time you felt really happy),125
Tell me about the last time you felt really happy,4,when was the last time you felt really happy,34
Tell me about the last time you felt really happy,4,when was the last time you felt really happy ,24
Tell me about the last time you felt really happy,4, when was the last time you felt really happy,1
When was the last time you argued with someone and what was it about?,5,last_argument (when was the last time you argued with someone and what was it about),124
When was the last time you argued with someone and what was it about?,5,argument_about (what was it about),5
When was the last time you argued with someone and what was it about?,5,when was the last time you argued with someone and what was it about,33
When was the last time you argued with someone and what was it about?,5,when was the last time you argued with someone and what was it about ,23
When was the last time you argued with someone and what was it about?,5,when was the last time you argued with someone and what was it about  ,3
When was the last time you argued with someone and what was it about?,5, when was the last time you argued with someone and what was it about,1
How easy is it for you to get a good night's sleep?,6,easy_sleep (how easy is it for you to get a good night's sleep),123
How easy is it for you to get a good night's sleep?,6,how easy is it for you to get a good night's sleep,28
How easy is it for you to get a good night's sleep?,6,how easy is it for you to get a good night's sleep ,22
How easy is it for you to get a good night's sleep?,6,how easy is it for you to get a good night sleep,1
How easy is it for you to get a good night's sleep?,6,how easy is it for you to get a good night's sleep  ,1
What are you like when you don't sleep well?,7,sleep_affects (what are you like when you don't sleep well),81
What are you like when you don't sleep well?,7,what are you like when you don't sleep well,30
What are you like when you don't sleep well?,7,what are you like when you don't sleep well ,18
What advice would you give to yourself ten or twenty years ago?,8,advice_back (what advice would you give to yourself ten or twenty years ago),121
What advice would you give to yourself ten or twenty years ago?,8,what advice would you give yourself ten or twenty years ago,33
What advice would you give to yourself ten or twenty years ago?,8,what advice would you give yourself ten or twenty years ago ,28
What advice would you give to yourself ten or twenty years ago?,8,what advice would you give yourself ten or twenty years ago  ,1
What are you most proud of in your life?,9,Ellie17Dec2012_08 (what are you most proud of in your life),121
What are you most proud of in your life?,9,what are you most proud of in your life,27
What are you most proud of in your life?,9,what are you most proud of in your life ,26
How have you been feeling lately?,10,feel_lately (how have you been feeling lately),118
How have you been feeling lately?,10,how have you been feeling lately ,28
How have you been feeling lately?,10,how have you been feeling lately,17
Do you consider yourself more shy or outgoing?,11,shyoutgoing (do you consider yourself more shy or outgoing),117
