Question,Key,Frequency,Include Q?
When was the last time you argued with someone and what was it about?,5,189,1
Where are you from originally?,2,188,0
How are you doing today?,1,186,1
Tell me about the last time you felt really happy,4,184,1
What advice would you give to yourself ten or twenty years ago?,8,183,0
How are you at controlling your temper?,3,179,0
How easy is it for you to get a good night's sleep?,6,175,1
What are you most proud of in your life?,9,174,0
What's something you feel guilty about?,30,169,1
Have you been diagnosed with depression?,12,168,0
Do you travel a lot? I'd love to hear about one of your trips,14,168,0
Have you ever been diagnosed with PTSD?,16,167,0
What did you study at school?,13,165,0
How would your best friend describe you?,21,165,0
What do you do to relax?,43,164,0
How have you been feeling lately?,10,163,0
What are some things you like about LA?,19,161,0
What's your dream job?,27,160,0
Tell me about your relationship with your family. How close are you to them?,26,157,0
Who's someone that's been a positive influence in your life?,28,156,0
Is there anything you regret?,24,155,0
What are some things you don't really like about LA?,20,147,0
Have you noticed any changes in your behavior or thoughts lately,23,132,0
What's one of your most memorable experiences,29,131,0
What are you like when you don't sleep well?,7,129,0
What do you enjoy about traveling?,15,120,0
Do you consider yourself more shy or outgoing?,11,117,0
How did you feel in that moment?,45,116,0
Tell me about a situation that you wish you had handled differently,17,112,0
Tell me about the hardest decision you've ever had to make. How did you decide on the choice you made? How do you feel about the choice now?,18,111,0
Are you still doing that?,67,105,0
What are some things you wish you could change about yourself?,22,103,0
What would you say are some of your best qualities?,33,102,0
Tell me about an event or something that you wish you could erase from your memory,25,99,0
Why did you move to LA?,36,80,0
When did you move to LA?,31,75,0
How often do you go back to your hometown?,32,75,0
How easy was it for you to get used to living in LA?,37,71,0
What got you to seek help?,38,68,0
Do you feel like therapy is useful?,46,67,0
How do you cope with your symptoms?,61,66,0
How long ago were you diagnosed?,62,65,0
What are some things that make you really mad?,40,62,0
Do you still go to therapy now?,39,61,0
How does your hometown compare to LA?,60,58,0
When was the last time your symptoms appeared?,64,58,0
Tell me about a time when someone made you feel really badly about yourself,34,54,0
Do you consider yourself an introvert?,41,54,0
Have you ever served in the military?,44,54,0
What sorts of changes have you noticed since you've been going to therapy?,65,53,0
What do you do when you're annoyed?,47,50,0
Are they triggered by something?,70,50,0
Tell me how you spend your ideal weekend,35,49,0
What are things that usually put you in a good mood?,52,48,0
Has that gotten you in trouble?,63,45,0
Do you find it easy to be a parent?,48,42,0
What's the hardest thing about being a parent?,50,41,0
Could you have done anything to avoid it?,66,40,0
What's the best thing about being a parent?,51,38,0
What do you do now?,42,37,0
What do you think about today's kids?,53,34,0
Why did you stop going to therapy?,72,31,0
What are some things you like to do for fun?,54,30,0
Do you feel down?,55,27,0
Tell me about your kids,68,27,0
What were your symptoms,69,27,0
What are some ways that you're different as a parent than your parents?,49,23,0
Did you think you had a problem before you found out?,71,23,0
How do you like your living situation?,56,19,0
"Do you have roommates? If so, how do you know them, and what's it like for you to live with them?",57,11,0
Do you have disturbing thoughts?,58,11,0
Where do you live?,59,7,0
How did serving in the military change you?,76,7,0
What did you do after the military?,77,7,0
How old were you when you joined the military?,74,6,0
Did you ever see combat?,75,5,0
How easy was it for you to go back to civilian life?,78,4,0
Why did you decide to enlist in the military?,79,3,0
What made you decide to go and see a therapist?,73,1,0
Introduction,0,189,0
